mpio,dpto,lon,lat,salida,llegada,total
Chachagüí,Nariño,-77.282,1.36,441,1293,1734
Chaguaní,Cundinamarca,-74.593,4.949,1303,351,1654
Chalán,Sucre,-75.313,9.545,8973,2610,11583
Chameza,Casanare,-72.87,5.214,1930,1585,3515
Chaparral,Tolima,-75.481,3.723,22487,8012,30499
Charalá,Santander,-73.147,6.284,421,269,690
Charta,Santander,-72.969,7.281,495,64,559
Chigorodó,Antioquia,-76.681,7.666,31283,43409,74692
Chimá,Córdoba,-75.627,9.149,540,475,1015
Chima,Santander,-73.374,6.344,727,278,1005
Chimichagua,Cesar,-73.813,9.258,9991,4465,14456
Chinácota,Norte de Santander,-72.605,7.601,333,793,1126
Chinú,Córdoba,-75.4,9.105,2051,2557,4608
Chinavita,Boyacá,-73.368,5.167,122,94,216
Chinchiná,Caldas,-75.607,4.986,1427,2307,3734
Chipaque,Cundinamarca,-74.045,4.443,199,93,292
Chipatá,Santander,-73.637,6.063,126,19,145
Chiquinquirá,Boyacá,-73.818,5.614,404,1298,1702
Chiriguaná,Cesar,-73.6,9.361,10730,7099,17829
Chiscas,Boyacá,-72.502,6.554,566,64,630
Chita,Boyacá,-72.472,6.187,1166,232,1398
Chitagá,Norte de Santander,-72.665,7.138,661,134,795
Chitaraque,Boyacá,-73.447,6.027,143,140,283
Chivatá,Boyacá,-73.283,5.559,7,0,7
Chivolo,Magdalena,-74.623,10.027,12124,3149,15273
Chivor,Boyacá,-73.367,4.888,296,59,355
Choachí,Cundinamarca,-73.923,4.527,78,123,201
Chocontá,Cundinamarca,-73.684,5.145,100,238,338
Ciénaga,Magdalena,-74.241,11.007,43005,17080,60085
Ciénaga de Oro,Córdoba,-75.621,8.876,1337,2110,3447
Ciénega,Boyacá,-73.296,5.409,8,3,11
Cicuco,Bolívar,-74.645,9.275,873,762,1635
Cimitarra,Santander,-73.953,6.321,7224,4115,11339
Circasia,Quindío,-75.637,4.618,407,2135,2542
Cisneros,Antioquia,-75.087,6.538,1074,1191,2265
Ciudad Bolívar,Antioquia,-76.022,5.85,4391,2429,6820
Clemencia,Bolívar,-75.329,10.568,1439,1303,2742
Cocorná,Antioquia,-75.185,6.058,27557,10965,38522
Coello,Tolima,-74.898,4.287,485,256,741
Cogua,Cundinamarca,-73.978,5.062,15,34,49
Colón,Nariño,-77.02,1.644,2105,1604,3709
Colón,Putumayo,-76.972,1.19,2105,1604,3709
Colombia,Huila,-74.803,3.377,8908,2460,11368
Coloso,Sucre,-75.353,9.494,23306,5106,28412
Concepción,Antioquia,-75.258,6.394,3627,1605,5232
Concepción,Santander,-72.695,6.769,3627,1605,5232
Concordia,Antioquia,-75.908,6.047,6684,2023,8707
Concordia,Magdalena,-74.833,10.257,6684,2023,8707
Condoto,Chocó,-76.651,5.091,5992,4675,10667
Confines,Santander,-73.241,6.357,66,38,104
Consaca,Nariño,-77.465,1.208,500,1615,2115
Contadero,Nariño,-77.549,0.91,96,121,217
Contratación,Santander,-73.474,6.291,450,291,741
Convención,Norte de Santander,-73.337,8.47,22451,13093,35544
Copacabana,Antioquia,-75.509,6.349,840,4644,5484
Coper,Boyacá,-74.045,5.475,94,46,140
Corinto,Cauca,-76.261,3.174,6908,2282,9190
Coromoro,Santander,-73.041,6.295,669,151,820
Corozal,Sucre,-75.293,9.319,3240,30106,33346
Cota,Cundinamarca,-74.103,4.813,15,93,108
Cotorra,Córdoba,-75.799,9.037,310,1503,1813
Covarachía,Boyacá,-72.739,6.5,226,6,232
Coveñas,Sucre,-75.692,9.402,405,688,1093
Coyaima,Tolima,-75.194,3.798,12406,928,13334
Cravo Norte,Arauca,-70.204,6.304,3290,920,4210
Cuítiva,Boyacá,-72.966,5.58,17,0,17
Cuaspud,Nariño,-77.729,0.863,1575,1761,3336
Cubará,Boyacá,-72.111,7,696,738,1434
Cubarral,Meta,-73.839,3.794,1466,1610,3076
Cucaita,Boyacá,-73.454,5.544,13,0,13
Cucunubá,Cundinamarca,-73.766,5.25,9,2,11
Cucutilla,Norte de Santander,-72.773,7.539,592,643,1235
Cumaral,Meta,-73.486,4.27,1667,4260,5927
Cumaribo,Vichada,-69.796,4.446,15545,1719,17264
Cumbal,Nariño,-77.792,0.906,1379,1081,2460
Cumbitara,Nariño,-77.578,1.647,10423,3402,13825
Cunday,Tolima,-74.692,4.059,5973,1019,6992
Curillo,Caquetá,-75.919,1.033,18901,3062,21963
Curití,Santander,-73.069,6.605,78,66,144
Curumaní,Cesar,-73.541,9.202,26237,13604,39841
Dabeiba,Antioquia,-76.263,7,35499,13908,49407
Dagua,Valle del Cauca,-76.689,3.657,10050,9249,19299
Dibulla,La Guajira,-73.308,11.272,26500,13392,39892
Distracción,La Guajira,-72.887,10.898,1100,929,2029
Dolores,Tolima,-74.897,3.539,7122,1557,8679
Don Matías,Antioquia,-75.393,6.484,479,2063,2542
Dosquebradas,Risaralda,-75.682,4.827,1374,10392,11766
Duitama,Boyacá,-73.031,5.823,285,2326,2611
Durania,Norte de Santander,-72.659,7.715,266,200,466
Ebéjico,Antioquia,-75.766,6.326,969,295,1264
El Águila,Valle del Cauca,-76.041,4.91,1462,384,1846
El Bagre,Antioquia,-74.799,7.598,42035,17192,59227
El Banco,Magdalena,-73.974,9.009,7826,11074,18900
El Cairo,Valle del Cauca,-76.222,4.761,1395,698,2093
El Calvario,Meta,-73.713,4.353,714,70,784
El Cantón del San Pablo,Chocó,-76.727,5.335,1698,1212,2910
El Carmen,Norte de Santander,-73.447,8.511,9026,3212,12238
El Carmen de Atrato,Chocó,-76.142,5.9,6488,3704,10192
El Carmen de Bolívar,Bolívar,-75.121,9.719,118172,52203,170375
El Carmen de Chucurí,Santander,-73.511,6.698,4937,1163,6100
El Carmen de Viboral,Antioquia,-75.335,6.085,9019,7386,16405
El Castillo,Meta,-73.794,3.564,9679,3489,13168
El Cerrito,Valle del Cauca,-76.312,3.684,2402,3285,5687
El Charco,Nariño,-78.11,2.478,37875,22435,60310
El Cocuy,Boyacá,-72.445,6.408,344,36,380
El Colegio,Cundinamarca,-74.443,4.579,1054,892,1946
El Copey,Cesar,-73.963,10.15,24544,8776,33320
El Doncello,Caquetá,-75.284,1.68,11761,5088,16849
El Dorado,Meta,-73.835,3.74,3030,1852,4882
El Dovio,Valle del Cauca,-76.237,4.51,5544,1011,6555
El Espino,Boyacá,-72.497,6.483,251,31,282
El Guacamayo,Santander,-73.497,6.245,168,50,218
El Guamo,Bolívar,-74.976,10.031,4798,1228,6026
El Litoral del San Juan,Chocó,-77.36,4.257,7935,604,8539
El Molino,La Guajira,-72.927,10.654,5195,6320,11515
El Paso,Cesar,-73.742,9.668,6184,3064,9248
El Paujil,Caquetá,-75.326,1.57,9971,7756,17727
El Peñón,Bolívar,-73.949,8.988,6973,2448,9421
El Peñón,Cundinamarca,-74.291,5.249,6973,2448,9421
El Peñón,Santander,-73.817,6.054,6973,2448,9421
El Peñol,Nariño,-77.438,1.453,1160,786,1946
El Piñon,Magdalena,-74.823,10.403,10003,2744,12747
El Playón,Santander,-73.203,7.471,4625,3684,8309
El Retén,Magdalena,-74.268,10.611,5359,6294,11653
