mpio,dpto,lon,lat,salida,llegada,total
Támara,Casanare,-72.162,5.83,1992,425,2417
Támesis,Antioquia,-75.714,5.664,1780,654,2434
Tópaga,Boyacá,-72.832,5.768,20,6,26
Túquerres,Nariño,-77.617,1.085,885,1602,2487
Tabio,Cundinamarca,-74.096,4.917,33,116,149
Tadó,Chocó,-76.559,5.264,13336,7645,20981
Talaigua Nuevo,Bolívar,-74.568,9.305,707,812,1519
Tamalameque,Cesar,-73.812,8.862,2798,1870,4668
Tame,Arauca,-71.759,6.449,45191,21292,66483
Taminango,Nariño,-77.28,1.57,2010,13646,15656
Tangua,Nariño,-77.393,1.095,2036,620,2656
Taraira,Vaupés,-69.639,-0.569,125,46,171
Tarazá,Antioquia,-75.401,7.58,31684,14066,45750
Tarqui,Huila,-75.824,2.111,2659,3514,6173
Tarso,Antioquia,-75.823,5.863,456,154,610
Tasco,Boyacá,-72.781,5.91,72,79,151
Tauramena,Casanare,-72.747,5.019,3366,2631,5997
Tausa,Cundinamarca,-73.886,5.197,22,3,25
Tello,Huila,-75.139,3.068,4697,786,5483
Tena,Cundinamarca,-74.39,4.655,142,142,284
Tenerife,Magdalena,-74.861,9.898,8807,3369,12176
Tenjo,Cundinamarca,-74.144,4.872,27,47,74
Tenza,Boyacá,-73.421,5.077,6,5,11
Teorama,Norte de Santander,-73.287,8.436,19577,6794,26371
Teruel,Huila,-75.567,2.741,875,586,1461
Tesalia,Huila,-75.73,2.486,842,1040,1882
Tibú,Norte de Santander,-72.736,8.64,60437,11225,71662
Tibacuy,Cundinamarca,-74.452,4.348,1413,449,1862
Tibaná,Boyacá,-73.396,5.317,53,0,53
Tibasosa,Boyacá,-72.999,5.747,10,52,62
Tibirita,Cundinamarca,-73.505,5.052,52,54,106
Tierralta,Córdoba,-76.06,8.17,97806,40541,138347
Timaná,Huila,-75.932,1.974,1231,2047,3278
Timbío,Cauca,-76.684,2.35,5216,5548,10764
Timbiquí,Cauca,-77.668,2.777,17896,11226,29122
Tinjacá,Boyacá,-73.647,5.58,5,0,5
Tipacoque,Boyacá,-72.693,6.419,28,0,28
Tiquisio,Bolívar,-74.264,8.558,27665,8247,35912
Titiribí,Antioquia,-75.792,6.061,532,370,902
Toca,Boyacá,-73.185,5.566,9,13,22
Tocaima,Cundinamarca,-74.636,4.459,638,289,927
Tocancipá,Cundinamarca,-73.912,4.965,26,260,286
Togüí,Boyacá,-73.514,5.937,63,49,112
Tolú Viejo,Sucre,-75.441,9.452,17497,7637,25134
Toledo,Antioquia,-75.691,7.01,5072,2263,7335
Toledo,Norte de Santander,-72.485,7.31,5072,2263,7335
Tona,Santander,-72.966,7.203,479,131,610
Topaipí,Cundinamarca,-74.303,5.336,3021,904,3925
Toribio,Cauca,-76.271,2.951,9093,3467,12560
Toro,Valle del Cauca,-76.077,4.608,966,713,1679
Tota,Boyacá,-72.986,5.56,19,0,19
Totoró,Cauca,-76.402,2.51,1167,128,1295
Trinidad,Casanare,-71.663,5.412,1561,737,2298
Trujillo,Valle del Cauca,-76.319,4.212,4985,2356,7341
Tubará,Atlántico,-74.979,10.874,201,277,478
Tuchín,Córdoba,-75.554,9.187,710,1141,1851
Tuluá,Valle del Cauca,-76.198,4.085,22167,27899,50066
Tunja,Boyacá,-73.355,5.54,287,3053,3340
Tununguá,Boyacá,-73.933,5.731,61,3,64
Turbaco,Bolívar,-75.424,10.333,3203,5401,8604
Turbaná,Bolívar,-75.443,10.274,708,281,989
Turbo,Antioquia,-76.729,8.089,120055,96705,216760
Turmequé,Boyacá,-73.492,5.323,10,2,12
Tuta,Boyacá,-73.226,5.691,22,13,35
Tutazá,Boyacá,-72.856,6.033,103,19,122
Ubalá,Cundinamarca,-73.534,4.744,832,172,1004
Ubaque,Cundinamarca,-73.933,4.484,211,104,315
Ulloa,Valle del Cauca,-75.738,4.703,242,263,505
Umbita,Boyacá,-73.457,5.221,78,94,172
Une,Cundinamarca,-74.025,4.402,356,231,587
Unguía,Chocó,-77.092,8.043,17061,9695,26756
Unión Panamericana,Chocó,-76.628,5.281,433,685,1118
Uramita,Antioquia,-76.173,6.898,6311,3832,10143
Uribe,Meta,-74.352,3.24,8555,934,9489
Uribia,La Guajira,-72.265,11.715,2455,1611,4066
Urrao,Antioquia,-76.134,6.317,35879,20399,56278
Urumita,La Guajira,-73.013,10.56,3175,3539,6714
Usiacurí,Atlántico,-74.977,10.743,34,31,65
Vélez,Santander,-73.666,6.011,723,715,1438
Valdivia,Antioquia,-75.439,7.165,8814,6074,14888
Valencia,Córdoba,-76.151,8.255,34266,24203,58469
Valle de San José,Santander,-73.144,6.448,74,59,133
Valle de San Juan,Tolima,-75.116,4.197,1292,588,1880
Valle del Guamuez,Putumayo,-76.906,0.424,38534,12088,50622
Valledupar,Cesar,-73.259,10.46,84116,132647,216763
Valparaíso,Antioquia,-75.624,5.615,15143,4173,19316
Valparaíso,Caquetá,-75.707,1.195,15143,4173,19316
Vegachí,Antioquia,-74.799,6.773,4743,1900,6643
Venadillo,Tolima,-74.929,4.718,3278,936,4214
Venecia,Antioquia,-75.736,5.965,1868,952,2820
Venecia,Cundinamarca,-74.478,4.089,1868,952,2820
Ventaquemada,Boyacá,-73.522,5.369,38,18,56
Vergara,Cundinamarca,-74.346,5.117,987,425,1412
Versalles,Valle del Cauca,-76.199,4.575,1290,297,1587
Vetas,Santander,-72.871,7.31,73,2,75
Vianí,Cundinamarca,-74.561,4.875,563,114,677
Victoria,Caldas,-74.911,5.317,1124,885,2009
Vigía del Fuerte,Antioquia,-76.896,6.588,12734,2617,15351
Vijes,Valle del Cauca,-76.442,3.699,219,295,514
Villa Caro,Norte de Santander,-72.974,7.914,272,204,476
Villa Rica,Cauca,-76.458,3.178,294,813,1107
Villa de Leyva,Boyacá,-73.525,5.633,1,6,7
Villa de San Diego de Ubaté,Cundinamarca,-73.814,5.308,90,438,528
Villa del Rosario,Norte de Santander,-72.47,7.847,2856,6427,9283
Villagómez,Cundinamarca,-74.195,5.273,446,96,542
Villagarzón,Putumayo,-76.617,1.029,11697,8062,19759
Villahermosa,Tolima,-75.118,5.03,5066,611,5677
Villamaría,Caldas,-75.514,5.044,719,1695,2414
Villanueva,Bolívar,-75.275,10.444,19879,13291,33170
Villanueva,Casanare,-72.927,4.61,19879,13291,33170
Villanueva,La Guajira,-72.978,10.609,19879,13291,33170
Villanueva,Santander,-73.174,6.67,19879,13291,33170
Villapinzón,Cundinamarca,-73.595,5.216,709,515,1224
Villarrica,Tolima,-74.6,3.937,5117,402,5519
Villavicencio,Meta,-73.627,4.124,9331,105098,114429
Villavieja,Huila,-75.217,3.221,988,434,1422
Villeta,Cundinamarca,-74.47,5.013,1028,687,1715
Viotá,Cundinamarca,-74.523,4.439,11073,5786,16859
Viracachá,Boyacá,-73.297,5.437,6,0,6
Vistahermosa,Meta,-73.751,3.126,37379,10290,47669
Viterbo,Caldas,-75.871,5.063,564,766,1330
Yacopí,Cundinamarca,-74.338,5.459,6209,1525,7734
Yacuanquer,Nariño,-77.403,1.115,129,291,420
Yaguará,Huila,-75.518,2.665,151,473,624
Yalí,Antioquia,-74.84,6.677,1725,450,2175
Yarumal,Antioquia,-75.419,6.964,7038,8457,15495
Yolombó,Antioquia,-75.013,6.595,6163,2505,8668
Yondó,Antioquia,-73.912,7.004,15328,4960,20288
Yopal,Casanare,-72.397,5.328,7637,21464,29101
Yotoco,Valle del Cauca,-76.382,3.861,457,949,1406
Yumbo,Valle del Cauca,-76.5,3.529,1382,7574,8956
Zambrano,Bolívar,-74.814,9.747,18534,8517,27051
Zapatoca,Santander,-73.268,6.814,843,255,1098
Zapayán,Magdalena,-74.717,10.168,3191,765,3956
Zaragoza,Antioquia,-74.867,7.489,14448,5318,19766
Zarzal,Valle del Cauca,-76.071,4.393,1432,1881,3313
Zetaquira,Boyacá,-73.169,5.282,223,160,383
Zipacón,Cundinamarca,-74.38,4.76,2,21,23
Zipaquirá,Cundinamarca,-73.994,5.025,119,933,1052
Zona Bananera,Magdalena,-74.14,10.763,35534,12400,47934
